,Date,Adams,Billings,Bottineau,Bowman,Burke,Divide,Dunn,Golden.Valley,Hettinger,McHenry,McKenzie,McLean,Mercer,Mountrail,Renville,Slope,Stark,Ward,Williams
63,3-2007,0,712825,6854,1291784,195580,128282,116159,57433,0,0,1128086,1766,0,149988,5978,125193,66076,774,1724718
64,4-2007,0,704715,7473,1215253,195002,121677,111915,54142,0,0,1094283,1629,0,157404,5789,139095,60111,767,1783724
65,5-2007,0,734579,7865,1227018,206287,124704,124473,54721,0,0,1182628,1808,0,207056,6065,151102,62947,771,1797379
66,6-2007,0,681625,7672,1236484,189518,128793,124122,54190,0,0,1118756,1728,0,197791,5716,149759,61601,828,1825833
67,7-2007,0,644285,7698,1314102,214319,131978,116788,55627,0,0,1191237,1331,0,210283,5815,139669,59627,823,1957375
68,8-2007,0,614813,7502,1511362,214347,123333,132473,57282,0,0,1225837,1891,0,211429,5835,133853,64576,758,1978456
69,9-2007,0,570038,8042,1539660,197072,123299,122372,49966,0,0,1195172,1660,0,201897,5866,121581,55223,834,1849002
70,10-2007,0,580186,8157,1607870,215461,120317,151634,55168,0,0,1213644,1919,0,229647,5602,128782,60681,843,1877762
71,11-2007,0,537278,8875,1687868,202980,118563,140269,56529,0,0,1169166,1768,0,236881,5997,141014,60174,812,1803953
72,12-2007,0,552616,9059,1176959,214828,124382,127556,59223,0,0,1202179,1681,0,271698,5734,41466,58370,828,1783927
73,1-2008,0,530163,9051,1852670,219172,133669,149880,56577,0,0,1151474,1675,0,323220,5831,149857,56599,816,1823508
74,2-2008,0,489942,8510,1729316,193787,127191,141482,62104,0,0,1038547,873,0,313238,5352,139502,56862,724,1702572
75,3-2008,0,512556,8712,1950335,200365,123458,163815,58817,0,0,1178772,1666,0,402550,6455,132726,61012,811,1852602
76,4-2008,0,483535,8282,1842014,211618,131494,209860,57872,0,0,1244143,1174,0,434199,5949,109939,55656,812,1833586
77,5-2008,0,450680,8754,1922857,238550,128539,257772,57737,0,0,1292080,765,0,655625,6295,144362,62073,823,1961636
