Time,"north dakota,divide","north dakota,williams","north dakota,mckenzie","north dakota,golden valley","north dakota,slope","north dakota,bowman","south dakota,harding","north dakota,billings","north dakota,stark","north dakota,dunn","north dakota,burke","north dakota,hettinger","north dakota,adams","south dakota,perkins","north dakota,mountrail","north dakota,mclean","north dakota,ward","north dakota,mercer","north dakota,renville","north dakota,morton","north dakota,grant","south dakota,corson","north dakota,sioux","north dakota,oliver","north dakota,bottineau","north dakota,mchenry","north dakota,burleigh","north dakota,sheridan","north dakota,emmons","south dakota,campbell","north dakota,pierce","north dakota,rolette","north dakota,kidder","north dakota,wells","north dakota,logan","north dakota,benson","north dakota,mcintosh","south dakota,mcpherson","north dakota,towner","north dakota,stutsman","north dakota,ramsey","north dakota,eddy","north dakota,foster","north dakota,la moure","north dakota,dickey","north dakota,cavalier","south dakota,brown","north dakota,nelson","north dakota,griggs","north dakota,barnes","north dakota,walsh","north dakota,ransom","north dakota,sargent","north dakota,pembina","north dakota,steele","south dakota,marshall","north dakota,grand forks","north dakota,cass","north dakota,traill","north dakota,richland","south dakota,roberts","minnesota,kittson","minnesota,marshall","minnesota,polk"
3/22/2005,0.205708663,0.106102363,0.062007875,0.078425197,0.124234472,0.093134844,0.100659716,0.141294837,0.103018372,0.10192476,NaN,0.097769029,0.093659347,0.066802135,0.234251965,0.137401576,0.27559054,0.081019479,NaN,0.115485566,NaN,0.048031496,0.21751968,0.046369204,NaN,NaN,0.20647419,NaN,0.150435143,0.121425611,NaN,NaN,0.230708662,0.133202103,0.178346456,NaN,0.161679791,0.172606714,NaN,0.146146505,NaN,NaN,0.112204725,0.121609801,0.127829725,NaN,0.125615157,NaN,NaN,0.10376828,NaN,0.126365253,0.10761155,NaN,0.19291338,0.129546309,NaN,0.164161299,NaN,0.144192915,0.109251969,NaN,NaN,NaN
3/30/2005,0.175286328,0.176644281,0.1609038,0.116205233,0.147685806,0.146623718,0.141195419,0.15059055,0.114862204,0.161229847,0.183899711,0.10356518,0.092913387,0.094799006,0.201755519,0.196018632,0.221149114,0.161867267,0.251133379,0.155293088,0.101821832,0.15784941,0.109773045,0.151653543,0.267140386,0.207327915,0.201868149,0.184758156,0.161504812,0.269987884,0.154238074,0.261482941,0.201728859,0.148622047,0.150590551,0.158717659,0.162073491,0.192519686,0.210137795,0.146231721,0.208422814,0.1792276,0.110728347,0.121653543,0.222687005,0.163385828,0.136318899,0.142992126,0.114960629,0.086040026,0.216535434,0.121432088,0.106836078,0.230096242,0.091929135,0.108048995,0.095497679,0.053899514,0.067913388,0.070491189,0.065944883,0.11811024,NaN,NaN
4/7/2005,0.207766642,0.200440018,0.175239644,0.197104394,0.220568463,0.246266628,0.273393151,0.207567803,0.097254736,0.092819966,0.144633236,0.127373785,0.138651148,0.122572179,0.130871573,0.191413574,0.120115883,0.070866143,0.102362204,0.103435934,0.111893907,0.162839021,0.23450873,0.08524478,0.093974667,0.131754005,0.233981781,0.240719908,0.333245842,0.367504543,0.187586845,0.176345145,0.259072234,0.174015748,0.296478564,0.187795276,0.288713908,0.264370079,0.197197777,0.188582677,0.195467119,0.264495346,0.153543307,0.110925198,0.174212601,0.23493492,0.211614172,0.238767946,0.211614176,0.119832677,0.124101335,0.143454726,0.159627775,0.116763367,0.140748032,0.17632171,0.116573844,0.092144732,0.112204725,0.12017248,0.149278215,0.125492126,0.059547247,0.074803152
4/15/2005,0.190765926,0.180291801,0.159277645,0.129667258,0.123775687,0.122047245,0.12893701,0.155511811,0.128149606,0.162792153,0.186593453,0.113079615,0.104068242,0.112722752,0.213502,0.183874904,0.176857776,0.173228346,0.186590313,0.133275009,0.106839587,0.126783958,0.113478462,0.155748031,0.165782267,0.214947931,0.213679174,0.202755906,0.15249344,0.170805572,0.19140806,0.120570867,0.20498117,0.156102364,0.180446194,0.129371909,0.182578742,0.19547244,0.141500695,0.163385828,0.14112659,0.164979379,0.147145669,0.166240158,0.174581693,0.097943115,0.188238188,0.151690597,0.156496063,0.114501313,0.085587129,0.160909322,0.136721545,0.064857025,0.083464569,0.217800898,0.075763396,0.109486314,0.086417323,0.111857342,0.089895014,0.095964568,0.075295278,0.065944881
4/23/2005,0.180708659,0.223608701,0.13052037,0.096901194,0.093335895,0.097351468,0.095919828,0.114720036,0.047047245,0.07440945,0.157165353,0.062007874,0.064304463,0.056568588,0.246937882,0.285143583,0.306861642,0.07316273,0.089613799,0.053295422,0.029180177,0.041707678,0.030453915,0.073228348,0.098122351,0.123808538,0.146364057,0.324438612,0.079615048,0.071774684,0.104509664,0.039883601,0.160989387,0.304749016,0.118110237,0.082020998,0.115157481,0.125590551,0.038481077,0.169585147,0.072553431,0.270341209,0.273622048,0.10492126,0.088090552,0.023910121,0.093996063,0.108778071,0.256621327,0.1496063,0.051181104,0.090551181,0.083392985,0.006662629,0.057480315,0.100815524,0.019315945,0.118547681,0.0246063,0.091488564,0.059383203,0.030019685,0.00738189,0.010498688
5/1/2005,0.174033644,0.227767484,0.164840807,0.190871975,0.14730171,0.099976139,0.098425198,0.198709537,0.120964567,0.124523749,0.165354332,0.123468942,0.09671916,0.084542063,0.161223701,0.142084852,0.104515256,0.099918546,0.134096873,0.108413533,0.098116414,0.089013287,0.090088005,0.099409449,0.122389592,0.126047752,0.193530955,0.148903262,0.137270341,0.138552394,0.118920796,0.084809711,0.185809653,0.105511812,0.190616799,0.080708662,0.177657479,0.218110236,0.087772117,0.117547807,0.084448819,0.12480315,0.079970473,0.088090551,0.125984253,0.091917082,0.139640749,0.11127837,0.100787403,0.076935695,0.068897638,0.07308071,0.070329277,0.070866142,0.032677166,0.129077616,0.036297293,0.05024372,0.041929135,0.086614173,0.120406823,0.073326773,0.075295275,0.076771655
5/9/2005,0.292707977,0.275474758,0.303149608,0.128778258,0.197096457,0.195497048,0.174123121,0.188120507,0.1988189,0.5590551,0.269028871,0.139435697,0.126840121,0.111893908,0.444702937,0.256107408,0.217060366,0.231299208,0.209223846,0.135952421,0.104369308,0.096087599,0.085340436,0.187746063,0.149693788,0.252850937,0.267253359,0.297806524,0.161504813,0.149152029,0.240968038,0.194389764,0.343435267,0.274496935,0.211136109,0.231946009,0.182906824,0.222916102,0.161185735,0.326172539,0.232021,0.260892383,0.344488188,0.241778605,0.17979003,0.066727237,0.53937006,0.250281215,NaN,0.528346454,0.150043746,NaN,NaN,0.053628432,0.217913383,NaN,0.086417323,0.313554555,0.108721987,0.581364837,0.460629917,0.113188977,0.163104613,NaN
5/17/2005,0.099051539,0.153253821,0.100607669,0.053467107,0.067217208,0.059293726,0.052791697,0.073818899,0.044192914,0.043244595,0.099564857,0.048118986,0.035695539,0.017509325,0.119142895,0.062398879,0.050873524,0.041057368,0.032331187,0.033974921,0.024702795,0.024360237,0.018179713,0.051968505,0.03012667,0.064008129,0.08893006,0.084505063,0.042344708,0.058449426,0.0676239,0.037073492,0.099965766,0.051713131,0.08628609,0.046032708,0.063484253,0.076279529,0.059055119,0.095240853,0.07152231,0.070669291,0.053641733,0.087303149,0.083292324,0.005905512,0.074803149,0.139201349,0.060586177,0.12935883,0.32677167,0.103543308,0.082114736,0.131046119,0.028253821,0.126546682,0.036220473,0.023016354,0.006252895,0.0871063,0.067913387,NaN,NaN,0.07480315
5/25/2005,NaN,NaN,NaN,NaN,NaN,0.11023622,0.029939572,NaN,NaN,0.106299214,NaN,NaN,NaN,0.011811024,NaN,0.14848144,NaN,0.086051743,NaN,NaN,0.115649608,0.105715954,0.132874016,NaN,NaN,NaN,NaN,NaN,NaN,0.161417323,NaN,NaN,0.161417323,NaN,0.115649609,NaN,0.130152849,0.177881175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/2/2005,0.369291342,0.408792645,0.186200284,0.038685383,0.036846356,0.035671678,0.028006443,0.111154855,0.018338168,0.07975616,0.096675418,0.015132874,0.001574803,0,0.074046033,0.085803613,0.068387286,0.067716535,0.00656168,0.079906679,0.036205034,0.00738189,0.003705419,0.075748032,0.042519686,0.045984253,0.117029489,0.120547435,0.036395451,0.033464568,0.05793026,0.03976378,0.077199589,0.036709939,0.073381452,0.04265092,0.053313648,0.05452756,NaN,0.05722926,0.062992127,0.054133858,0.042519686,0.083169292,0.082062008,NaN,0.048228347,0.071147357,0.135826775,0.08318191,0.059055118,0.051550198,0.059234074,NaN,0.162893703,0.056805401,0.087926508,0.079455977,0.139107611,0.042744657,0.058398951,NaN,0.25984251,0.115485563
