"","X","TargetID","ProbeID","AVG_Signal.C.1","AVG_Signal.C.2","AVG_Signal.C.3","AVG_Signal.L.1","AVG_Signal.L.2","AVG_Signal.L.3","AVG_Signal.M.1","AVG_Signal.M.2","AVG_Signal.M.3","AVG_Signal.H.1","AVG_Signal.H.2","AVG_Signal.H.3","FDR","P.Value","Slope"
"572",25228,"LOC644186",5310593,163.8,174.8,157.5,194.2,232.8,210.6,234.2,174.4,217.7,261.2,266.2,289.7,0.029037854464249,0.000357734487514679,8.93674540682415
"549",20847,"LOC100132153",7380494,107.6,100.1,99.6,100.1,101,106.6,104.5,106.4,109.3,111.8,116.6,117.1,0.0290894673380778,0.000358985037411775,1.26561679790026
"258",8248,"DOK5",5860386,390.5,394.5,404.4,281.7,345.1,373.6,302.9,256.2,290.5,275.2,242.7,254.8,0.0293321130646657,0.000362599288777749,-12.4278215223097
"514",18415,"KLK3",460202,453.7,372.3,401.6,361.9,490.2,417.5,598.5,449.5,569.8,620.9,572.6,691.4,0.0295247126424842,0.000365604074308386,22.1994750656168
"800",38268,"RABEP1",240110,603.6,540.2,493.9,448.6,465.5,447.8,406.6,331.7,387.9,359.8,336.3,356.6,0.0296370259942651,0.000367621119933935,-17.490813648294
"678",34012,"NFIX",5720129,163.2,152.5,157.3,127.7,145.1,156.5,124.1,113.9,133.6,121.4,117.3,109,0.0297242565349133,0.000369331252087336,-3.90524934383202
"774",37357,"PRAGMIN",2640441,1147,1086,1019.8,718.3,765.9,785.1,746.3,603,695.8,580.9,530.6,582,0.0297492996583652,0.000370271062670944,-42.5446194225722
"286",8884,"ELOVL4",4760056,202.4,173.8,203.8,151.2,167.3,159.1,134.7,131.9,135.1,136.6,117.1,124.9,0.0299523002293356,0.000373430617993534,-5.93543307086615
"83",2299,"BAT2L",4830253,395.3,340.6,329.4,333.7,351.2,355,324,246.1,297.2,247.4,267,256.2,0.0303102102393768,0.000380549279140497,-9.98792650918636
"176",5630,"CDV3",5720746,2249,2128.4,1889.5,1469.8,1605.7,1804.9,1732.6,1362.3,1531.2,1233.9,1166.1,1285,0.0303102102393768,0.000381047075260692,-71.7372703412074
"376",12233,"GPR56",5490768,13565.7,11599.8,10750.1,10707.9,11251,12147.8,11061.5,8947.2,9769,8704.3,7801.1,8777.8,0.0303102102393768,0.000382246977985375,-343.359842519685
"552",21629,"LOC100134134",3450288,8412.2,7038.4,6886.3,7015,7588.6,6640.6,6915.9,5605.2,5594.6,5368,5184.7,5208,0.0303102102393768,0.000382664866878333,-214.943044619423
"663",33661,"NBAS",2030474,287.3,287.6,300.6,254.1,275,270.2,285,244.9,270.6,227.3,228.8,237.1,0.0303102102393768,0.000380383491960133,-5.13543307086615
"671",33773,"NCOR1",270646,213.3,187.6,192,199.5,205.8,195,199.5,166.2,183.5,155.3,154.1,160,0.0303102102393768,0.000381011087859213,-4.21627296587927
"785",37666,"PRR5",6130630,232,214.7,210,206.4,198.7,215.2,197.3,178.4,194.1,189.3,174.9,178.1,0.0303102102393768,0.000383470361489454,-3.58162729658793
"916",41957,"SP140",870193,171.9,168.2,151.1,135.9,154.4,158.5,130,127.1,140.6,126,116.2,129.1,0.0303102102393768,0.0003817052142863,-3.71076115485564
"1065",45988,"WNT10A",2710343,241,213.5,189.8,200.4,220.4,240.5,194.2,156.2,180.9,150.8,137.8,150.1,0.0303102102393768,0.00038365733223563,-7.29186351706037
"271",8603,"EDA2R",2900259,135.7,140.5,136.7,143.6,137.3,133.9,117.9,118.6,124.6,116.4,112.7,123.9,0.0303889191144483,0.000385295764610633,-2.18346456692914
"592",30784,"LOC92249",50364,272.3,256.9,247.9,242.9,269.7,271,206,202.4,223.4,208.8,197.8,204.4,0.0304666593967929,0.000388212827087592,-6.07952755905512
"815",38723,"RELN",4490221,170.8,148.5,152,122.3,126.8,140.1,122.9,114.7,128.2,114.9,105.2,99.9,0.0304666593967929,0.000387747107660177,-4.24173228346457
"1021",44888,"TUBB2B",7050543,2539.5,2554.5,2028,1664.3,1668.2,1759.8,1506.1,1310.2,1573.1,1286.9,1091.6,1238.9,0.0304666593967929,0.000388186883686335,-98.0889763779528
"670",33767,"NCOA3",2760390,1029.6,795.1,829.8,569,664.1,670.5,593.8,537.2,573.6,484.8,418.9,427.1,0.030665361011584,0.000391392727658787,-36.8233595800525
"772",37220,"PPM1M",7150253,235.1,213.4,201.3,181.9,205.4,193.8,179.6,159.9,183.4,158.8,156.2,168.7,0.0307061499604793,0.00039256219441054,-4.99606299212599
"491",17941,"KIAA0194",2850743,700.2,705.6,570.4,530.3,606.7,651.5,585.9,492.8,564,468.1,436.9,443.2,0.0307394061929277,0.000393636923967503,-19.0669291338583
"370",12042,"GOLSYN",2690411,404.2,345.3,301,234.7,269.1,258,192,169.6,204.1,173.6,157.4,166.7,0.0307448203350033,0.0003943559356623,-16.1671916010499
"1004",44537,"TRNP1",7150292,1222.7,994,988.4,913.5,980.9,994.2,1151.2,1168.3,1148.3,1437.5,1362.3,1541.7,0.0307630868234078,0.000395240301515794,41.3246719160105
