"","TargetID","ProbeID","AVG_Signal.C.1","AVG_Signal.C.2","AVG_Signal.C.3","AVG_Signal.L.1","AVG_Signal.L.2","AVG_Signal.L.3","AVG_Signal.M.1","AVG_Signal.M.2","AVG_Signal.M.3","AVG_Signal.H.1","AVG_Signal.H.2","AVG_Signal.H.3","fdr[id, 1]","pval","slp"
"36006","PDCD4",2570433,7.03165291563837,6.95949347438655,6.92971244633418,6.81750229000458,6.82871207164168,6.87512877615504,6.65801104587075,6.40407076336751,6.53204312902332,6.30828057428483,6.18908514119111,6.22277466108859,0.000399669913814042,1.18238040559487e-07,-0.0710354614722865
"39899","SCD",2140128,9.46093565284368,9.39596480160886,9.30493211194622,9.02825478733861,9.11637029383438,9.12902185079859,8.96663690669661,8.65429071782034,8.86886363370011,8.35972033259167,8.24761295432844,8.29112035392945,0.000399669913814042,5.51368994595412e-08,-0.0999047284798373
"44961","TXNIP",1240440,5.37435205282403,5.18626786273941,5.2257466737132,5.81263687956828,5.98166670462787,5.80060665929174,6.44603722932317,6.14139203609093,6.37995303100903,7.85779021682045,7.99685580727765,7.9746016648866,0.000399669913814042,1.32581269042887e-08,0.246283166246019
"45208","UGCGL1",3170592,5.33561315129173,5.23750522715128,5.2252088947274,5.11319188242135,5.20290718174338,5.15097677864933,5.07141676635611,5.02256386496153,5.06764554881304,4.8629083820668,4.86599480426999,4.85515039125586,0.000399669913814042,1.15646753287039e-07,-0.0372399721292148
"45002","UAP1L1",6100609,5.9519437889457,5.87717540070585,5.82008293035236,5.57215403217776,5.69776440233064,5.74779936007298,5.5325986622727,5.43241110102874,5.48935086394401,5.20345708552408,5.12812198955192,5.22035582507832,0.000414749835062885,1.3146350666575e-07,-0.0640405984162714
"209","ACACA",2190414,7.60310004308557,7.46651355650343,7.41046808263758,7.22431631098429,7.25113219477688,7.30673272095475,7.08991015521899,6.95540193244949,6.99218833495697,6.77227913941969,6.72970458903883,6.71040129935422,0.000417153942527109,1.57040582665978e-07,-0.0698373230829795
"7128","CXCL12",4610615,5.39362754635236,5.37759054744254,5.37481533752076,5.29531285752774,5.27145991237815,5.39089654784113,4.969813299576,4.9600435079802,5.00729639283074,4.76983680754333,4.64918707140487,4.81543111147129,0.000417153942527109,1.41233775129065e-07,-0.0640810529783952
"43380","TGFBR3",3190379,6.6697518647609,6.53189751562663,6.55862324421413,6.30919074090814,6.31914827769612,6.37519516307014,6.17002905502422,5.96794000206102,6.09379547820544,5.80844274519963,5.79392782450755,5.77888994714301,0.000417153942527109,1.58670645679436e-07,-0.0730222290210064
"38731","RENBP",5810678,7.2760721914548,7.04377108289958,7.01355569786835,6.63121095094081,6.66810117554094,6.74817320915767,6.37927471997743,6.2069790712577,6.29581935384701,5.82511475982373,5.88192866003967,5.8673175543651,0.000417661949480019,1.67689644361523e-07,-0.11438724264382
"41140","SLC4A4",5130053,6.98044796437558,6.79065950710589,6.76076225524148,6.75541961767844,6.79671198018881,6.75507019131649,6.53320727350869,6.38147755065722,6.47866324024282,5.77268645330341,5.72227705729237,5.67846466667191,0.000425767798889277,1.79941169786056e-07,-0.108805780132272
"6672","CRABP2",3400296,5.57746310797753,5.45146754604171,5.34137685600848,5.51019772558354,5.57405336798142,5.47227067367148,5.99819186785741,5.74332364927673,5.99694947733855,6.37314912655074,6.32453815779439,6.39158204888955,0.00047345205595641,2.10098539295577e-07,0.0903747652528343
"2726","BTBD11",6510608,6.32471732110222,6.5562100128634,6.36955845842001,5.96563378707346,5.98645200528444,6.07027572753227,5.52942908751142,5.41387570718231,5.52226059803281,5.16478597392351,5.12396397940326,5.04857313343665,0.000473705769630468,2.20221180649373e-07,-0.121751107360387
"12220","GPR37",7210377,6.07580569554173,5.98191913426445,5.98896141688986,5.73301759992454,5.77361943424498,5.85964597248713,5.7031155856685,5.53378466755108,5.63906615993651,5.33945930987921,5.25853649653619,5.37110303627368,0.000560328190258348,2.72331601461066e-07,-0.0626521583069986
"32086","MGP",940735,4.92289637978825,4.88884423704233,4.85670681180352,4.90230741721063,5.02650864325255,4.89110072540107,5.14923714353388,5.09803548437709,5.25749537202778,5.45361025095407,5.37110303627368,5.49141399650995,0.000598778849963033,3.13954485982779e-07,0.0542977758994799
